DOI,URL,Access_through_publisher,Year_of_publication,Publisher,DOI-prefix,Publisher_VLOOKUP,,,,,,,,
10.0000/ajcn.nutrition.org/ajcn/54/3/438,https://dx.doi.org/10.0000/ajcn.nutrition.org/content/54/3/438,yes,1991,American Society for Clinical Nutrition,10.1,#N/A,,,,,,,,
10.0000/pediatrics.aappublications.org/pediatrics/32/3/338,https://dx.doi.org/10.0000/pediatrics.aappublications.org/content/32/3/338,yes,1963,American Association of Pediatrics,10.1,#N/A,,,,,,,,
10.0000/psycnet.apa.org/journals/apl/35/6/407,https://dx.doi.org/10.0000/psycnet.apa.org/journals/apl/35/6/407,-,-,-,10.1,#N/A,,,,,,,,
10.0000/psycnet.apa.org/journals/dev/15/6/608,https://dx.doi.org/10.0000/psycnet.apa.org/journals/dev/15/6/608,-,-,-,10.1,#N/A,,,,,,,,
10.0000/psycnet.apa.org/journals/neu/21/2/251,https://dx.doi.org/10.0000/psycnet.apa.org/journals/neu/21/2/251,-,-,-,10.1,#N/A,,,,,,,,
10.1001/archderm.1986.01660130056025,https://dx.doi.org/10.1001/archderm.1986.01660130056025,no,1986,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/archinte.1996.00440190027002,https://dx.doi.org/10.1001/archinte.1996.00440190027002,no,1996,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/archpsyc.1980.01780170034003,https://dx.doi.org/10.1001/archpsyc.1980.01780170034003,no,1980,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/archpsyc.58.1.85,https://dx.doi.org/10.1001/archpsyc.58.1.85,free from publisher,2001,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/archsurg.1982.01380350009002,https://dx.doi.org/10.1001/archsurg.1982.01380350009002,no,1982,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/jama.1936.02770230012004,https://dx.doi.org/10.1001/jama.1936.02770230012004,no,1936,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/jama.1950.02910470083028,https://dx.doi.org/10.1001/jama.1950.02910470083028,no,1950,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/jama.1988.03410120089033,https://dx.doi.org/10.1001/jama.1988.03410120089033,no,1988,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/jama.2016.0275,https://dx.doi.org/10.1001/jama.2016.0275,yes,2016,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/jamaneurol.2014.2082,https://dx.doi.org/10.1001/jamaneurol.2014.2082,free from publisher,2014,American Medical Association,10.1001,American Medical Association,,,,,,,,
10.1001/jamapsychiatry.2013.269,https://dx.doi.org/10.1001/jamapsychiatry.2013.269,yes,2013,American Medical Association,10.1001,American Medical Association,,,,,,,,
